id,title,price,currency_id,available_quantity,condition,permalink,thumbnail_id,shipping.free_shipping
MLA1364247963,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,85000,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1364247963-chromecast-google-tv-hd-8gb-2gb-ram-60-fps-wifi-bluetooth-hdmi-4ta-gen-blanco-_JM,http://http2.mlstatic.com/D_891351-MLU74085599976_012024-I.jpg,True
MLA1702536754,Google Chromecast 3ra Generación Streaming Hdmi Celular Color Negro Tipo De Control Remoto Negro,49498,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1702536754-google-chromecast-3ra-generacion-streaming-hdmi-celular-color-negro-tipo-de-control-remoto-negro-_JM,http://http2.mlstatic.com/D_691465-MLB50459349397_062022-I.jpg,True
MLA1121943927,Chromecast With Google Tv De Voz 4.ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,109998,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1121943927-chromecast-with-google-tv-de-voz-4-generacion-4k-8gb-snow-con-2gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_656871-MLU72825274805_112023-I.jpg,True
MLA1401752153,Google Chromecast 3 Full Hd Media Streaming Negro,49225,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1401752153-google-chromecast-3-full-hd-media-streaming-negro-_JM,http://http2.mlstatic.com/D_978472-MEC32125652047_092019-I.jpg,True
MLA1398904167,Google Chromecast Con Google Tv Hd - Blanco,74900,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1398904167-google-chromecast-con-google-tv-hd-blanco-_JM,http://http2.mlstatic.com/D_827368-MLU74338205859_022024-I.jpg,True
MLA1398744289,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 1080p 8gb Sky Con 2gb De Memoria Ram,85800,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1398744289-google-chromecast-with-google-tv-ga01919-us-de-voz-4-generacion-1080p-8gb-sky-con-2gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_898046-MLA74652414632_022024-I.jpg,True
MLA906338192,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,89965.84,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-906338192-google-chromecast-with-google-tv-ga01919-us-de-voz-4-generacion-4k-8gb-sunrise-con-2gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_700343-MLA74650711082_022024-I.jpg,True
MLA1421495495,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,68999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1421495495-chromecast-google-tv-hd-8gb-2gb-ram-60-fps-wifi-bluetooth-hdmi-4ta-gen-blanco-_JM,http://http2.mlstatic.com/D_652735-MLC52874645029_122022-I.jpg,True
MLA1421097775,Google Chromecast 3 Full Hd Media Streaming Negro. Color Carbón,49999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1421097775-google-chromecast-3-full-hd-media-streaming-negro-color-carbon-_JM,http://http2.mlstatic.com/D_937811-MLU74447965693_022024-I.jpg,True
MLA1739258522,Google Chromecast Hd,70976,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1739258522-google-chromecast-hd-_JM,http://http2.mlstatic.com/D_768094-MCO74113009136_012024-I.jpg,True
MLA877404372,Google Chromecast 3 Generacion Full Hd En Caja Con Fuente,49225,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-877404372-google-chromecast-3-generacion-full-hd-en-caja-con-fuente-_JM,http://http2.mlstatic.com/D_620605-MLA32691559317_102019-I.jpg,True
MLA1382825071,Google Chromecast Ultra 4k Negro,50880,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1382825071-google-chromecast-ultra-4k-negro-_JM,http://http2.mlstatic.com/D_657744-MLA71030490747_082023-I.jpg,True
MLA1365631869,Chromecast 4 Google Tv Full Hd En Caja Con Cargador Original,75999.2,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1365631869-chromecast-4-google-tv-full-hd-en-caja-con-cargador-original-_JM,http://http2.mlstatic.com/D_966678-MLA54918888276_042023-I.jpg,True
MLA782706781,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,49990,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-782706781-google-chromecast-3-generacion-nuevo-en-caja-hdmi-c-fuente-_JM,http://http2.mlstatic.com/D_839355-MLA31025063579_062019-I.jpg,True
MLA1578077670,Chromecast Google Tv Hd 8gb 2gb Ram Wifi Bt 4ta Gen Blanco,68300,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1578077670-chromecast-google-tv-hd-8gb-2gb-ram-wifi-bt-4ta-gen-blanco-_JM,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-I.jpg,True
MLA1282707838,Google Chromecast 4 Google Tv Box Full Hd 8gb 2gb 4ta Gen,89999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1282707838-google-chromecast-4-google-tv-box-full-hd-8gb-2gb-4ta-gen-_JM,http://http2.mlstatic.com/D_654034-MLA52922398703_122022-I.jpg,True
MLA1419730881,Google Chromecast Con Google Tv Hd - Blanco,79999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1419730881-google-chromecast-con-google-tv-hd-blanco-_JM,http://http2.mlstatic.com/D_827368-MLU74338205859_022024-I.jpg,True
MLA1382798627,Google Chromecast Ultra 4k Negro,60121.85,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1382798627-google-chromecast-ultra-4k-negro-_JM,http://http2.mlstatic.com/D_799040-MLA71030494893_082023-I.jpg,True
MLA778066728,Google Chromecast 3 Generacion Nuevo En Caja Hdmi Eps,49225,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-778066728-google-chromecast-3-generacion-nuevo-en-caja-hdmi-eps-_JM,http://http2.mlstatic.com/D_600914-MLA29750902039_032019-I.jpg,True
MLA1385641269,Chromecast 4 Google Tv Hd 8gb 2gb Ram Wifi Bluetooth Blanco,79999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1385641269-chromecast-4-google-tv-hd-8gb-2gb-ram-wifi-bluetooth-blanco-_JM,http://http2.mlstatic.com/D_707183-MLA71631052637_092023-I.jpg,True
MLA1256846341,Chromecast Smart Netflix Google Tv Full Hd Hdr Contr Remoto,71999.1,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1256846341-chromecast-smart-netflix-google-tv-full-hd-hdr-contr-remoto-_JM,http://http2.mlstatic.com/D_983118-MLA52555048823_112022-I.jpg,True
MLA1316498172,Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb,84547.08,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1316498172-google-chromecast-with-google-tv-de-voz-4k-8gb-snow-con-2gb-_JM,http://http2.mlstatic.com/D_635602-MLA74782529607_022024-I.jpg,True
MLA1390929065,Chromecast Googletv Hd 8gb 2gb Ram Bluetooth Hdmi 4ta Blanco,68447.07,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1390929065-chromecast-googletv-hd-8gb-2gb-ram-bluetooth-hdmi-4ta-blanco-_JM,http://http2.mlstatic.com/D_891351-MLU74085599976_012024-I.jpg,True
MLA1532640728,Chromecast Google Tv Hd 8gb 2gb Ram Hdmi 4ta Gen Blanco,72899,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1532640728-chromecast-google-tv-hd-8gb-2gb-ram-hdmi-4ta-gen-blanco-_JM,http://http2.mlstatic.com/D_652735-MLC52874645029_122022-I.jpg,True
MLA1164586179,Google Chromecast With Google Tv Voz 4k 8gb Snow 2gb Ram,84878,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1164586179-google-chromecast-with-google-tv-voz-4k-8gb-snow-2gb-ram-_JM,http://http2.mlstatic.com/D_827368-MLU74338205859_022024-I.jpg,True
MLA1277635992,Google Chromecast Hd Con Google Tv Y C Remoto,75900,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1277635992-google-chromecast-hd-con-google-tv-y-c-remoto-_JM,http://http2.mlstatic.com/D_652735-MLC52874645029_122022-I.jpg,True
MLA1366062917,Chromecast Google 4 Full Hd Google Tv Box 4ta Gen Streaming,71999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1366062917-chromecast-google-4-full-hd-google-tv-box-4ta-gen-streaming-_JM,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-I.jpg,True
MLA1415675521,Google Chromecast 3 Chromecast 3 3.ª Generación Full Hd,72300,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1415675521-google-chromecast-3-chromecast-3-3-generacion-full-hd-_JM,http://http2.mlstatic.com/D_764034-MLU74279098346_022024-I.jpg,True
MLA1324508604,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control,71519,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1324508604-chromecast-google-ga03131-tv-hd-8gb-blanco-control-_JM,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-I.jpg,True
MLA868094225,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,66239.1,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-868094225-google-chromecast-3-generacion-nuevo-en-caja-hdmi-c-fuente-_JM,http://http2.mlstatic.com/D_620605-MLA32691559317_102019-I.jpg,True
MLA770888815,Google Chromecast 3 Generacion Smart Tv Netflix Original,49999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-770888815-google-chromecast-3-generacion-smart-tv-netflix-original-_JM,http://http2.mlstatic.com/D_721376-MLA31024091921_062019-I.jpg,True
MLA914388160,Google Chromecast 4k Android Tv Control De Voz 2gb Ram,84290,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-914388160-google-chromecast-4k-android-tv-control-de-voz-2gb-ram-_JM,http://http2.mlstatic.com/D_710781-MLA74779495325_022024-I.jpg,True
MLA886507539,Google Chromecast Con Google Tv 4k + Control Remoto,86895,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-886507539-google-chromecast-con-google-tv-4k-control-remoto-_JM,http://http2.mlstatic.com/D_854496-MLA43972240684_112020-I.jpg,True
MLA1397345489,Google Chromecast Con Google Tv Hd 4ta Generación,74900,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1397345489-google-chromecast-con-google-tv-hd-4ta-generacion-_JM,http://http2.mlstatic.com/D_919313-MLA75505237052_042024-I.jpg,True
MLA1405964398,Google Chromecast 4 Google Tv Box Full Hd 8gb 2gb 4ta Gen,68799,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1405964398-google-chromecast-4-google-tv-box-full-hd-8gb-2gb-4ta-gen-_JM,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-I.jpg,True
MLA1414210389,Google Chromecast 3ra Gen Youtube Streaming Hdmi Netflix,49898,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1414210389-google-chromecast-3ra-gen-youtube-streaming-hdmi-netflix-_JM,http://http2.mlstatic.com/D_727188-MLA75079984357_032024-I.jpg,True
